symbol,feature,value,observed_at,available_at,revision,source
FORR,gross_margin,0.3863,2024-08-16,2024-11-04,0,sample-fundamentals
FORR,revenue_millions,3878.6,2024-08-16,2024-11-04,0,sample-fundamentals
FORR,gross_margin,0.4042,2024-11-16,2025-02-04,0,sample-fundamentals
FORR,revenue_millions,4005.7,2024-11-16,2025-02-04,0,sample-fundamentals
GLDW,gross_margin,0.334,2022-02-14,2022-05-05,0,sample-fundamentals
GLDW,revenue_millions,3519.8,2022-02-14,2022-05-05,0,sample-fundamentals
GLDW,gross_margin,0.3379,2022-05-16,2022-08-04,0,sample-fundamentals
GLDW,revenue_millions,3581.8,2022-05-16,2022-08-04,0,sample-fundamentals
GLDW,gross_margin,0.339,2022-08-16,2022-11-04,0,sample-fundamentals
GLDW,revenue_millions,3609.3,2022-08-16,2022-11-04,0,sample-fundamentals
GLDW,gross_margin,0.3434,2022-11-16,2023-02-04,0,sample-fundamentals
GLDW,revenue_millions,3651.3,2022-11-16,2023-02-04,0,sample-fundamentals
GLDW,gross_margin,0.3363,2023-02-14,2023-05-05,0,sample-fundamentals
GLDW,revenue_millions,3633.8,2023-02-14,2023-05-05,0,sample-fundamentals
GLDW,gross_margin,0.3389,2023-05-16,2023-08-04,0,sample-fundamentals
GLDW,revenue_millions,3824.0,2023-05-16,2023-08-04,0,sample-fundamentals
GLDW,gross_margin,0.3413,2023-08-16,2023-11-04,0,sample-fundamentals
GLDW,revenue_millions,3894.3,2023-08-16,2023-11-04,0,sample-fundamentals
GLDW,gross_margin,0.3446,2023-11-16,2024-02-04,0,sample-fundamentals
GLDW,revenue_millions,4076.8,2023-11-16,2024-02-04,0,sample-fundamentals
GLDW,gross_margin,0.3475,2024-02-15,2024-05-05,0,sample-fundamentals
GLDW,revenue_millions,4127.9,2024-02-15,2024-05-05,0,sample-fundamentals
GLDW,gross_margin,0.3566,2024-05-16,2024-08-04,0,sample-fundamentals
GLDW,revenue_millions,4249.0,2024-05-16,2024-08-04,0,sample-fundamentals
GLDW,gross_margin,0.369,2024-08-16,2024-11-04,0,sample-fundamentals
GLDW,revenue_millions,4352.8,2024-08-16,2024-11-04,0,sample-fundamentals
GLDW,gross_margin,0.3614,2024-11-16,2025-02-04,0,sample-fundamentals
GLDW,revenue_millions,4324.0,2024-11-16,2025-02-04,0,sample-fundamentals
HRZN,gross_margin,0.3606,2022-02-14,2022-05-05,0,sample-fundamentals
HRZN,revenue_millions,1194.0,2022-02-14,2022-05-05,0,sample-fundamentals
HRZN,gross_margin,0.3593,2022-05-16,2022-08-04,0,sample-fundamentals
HRZN,revenue_millions,1234.3,2022-05-16,2022-08-04,0,sample-fundamentals
HRZN,gross_margin,0.3528,2022-08-16,2022-11-04,0,sample-fundamentals
HRZN,revenue_millions,1217.8,2022-08-16,2022-11-04,0,sample-fundamentals
HRZN,gross_margin,0.3587,2022-11-16,2023-02-04,0,sample-fundamentals
HRZN,revenue_millions,1213.7,2022-11-16,2023-02-04,0,sample-fundamentals
HRZN,gross_margin,0.3601,2023-02-14,2023-05-05,0,sample-fundamentals
HRZN,revenue_millions,1215.3,2023-02-14,2023-05-05,0,sample-fundamentals
HRZN,gross_margin,0.364,2023-05-16,2023-08-04,0,sample-fundamentals
HRZN,revenue_millions,1255.0,2023-05-16,2023-08-04,0,sample-fundamentals
HRZN,gross_margin,0.3661,2023-08-16,2023-11-04,0,sample-fundamentals
HRZN,revenue_millions,1276.9,2023-08-16,2023-11-04,0,sample-fundamentals
HRZN,gross_margin,0.3526,2023-11-16,2024-02-04,0,sample-fundamentals
HRZN,revenue_millions,1281.4,2023-11-16,2024-02-04,0,sample-fundamentals
HRZN,gross_margin,0.348,2024-02-15,2024-05-05,0,sample-fundamentals
HRZN,revenue_millions,1256.0,2024-02-15,2024-05-05,0,sample-fundamentals
HRZN,gross_margin,0.3433,2024-05-16,2024-08-04,0,sample-fundamentals
HRZN,revenue_millions,1253.3,2024-05-16,2024-08-04,0,sample-fundamentals
HRZN,gross_margin,0.351,2024-08-16,2024-11-04,0,sample-fundamentals
HRZN,revenue_millions,1225.8,2024-08-16,2024-11-04,0,sample-fundamentals
HRZN,gross_margin,0.3526,2024-11-16,2025-02-04,0,sample-fundamentals
HRZN,revenue_millions,1219.5,2024-11-16,2025-02-04,0,sample-fundamentals
