symbol,event_at,available_at,event_type,payload,source
FORR,2023-04-01,2023-04-02,earnings_sentiment,"{""sentiment"": 0.92}",sample-news
FORR,2023-07-01,2023-07-02,earnings_sentiment,"{""sentiment"": 0.688}",sample-news
FORR,2023-10-01,2023-10-02,earnings_sentiment,"{""sentiment"": 0.742}",sample-news
FORR,2024-01-01,2024-01-02,earnings_sentiment,"{""sentiment"": 0.186}",sample-news
FORR,2024-04-01,2024-04-02,earnings_sentiment,"{""sentiment"": 0.854}",sample-news
FORR,2024-07-01,2024-07-02,earnings_sentiment,"{""sentiment"": 0.736}",sample-news
FORR,2024-10-01,2024-10-02,earnings_sentiment,"{""sentiment"": 0.344}",sample-news
FORR,2025-01-01,2025-01-02,earnings_sentiment,"{""sentiment"": 0.504}",sample-news
GLDW,2022-07-01,2022-07-02,earnings_sentiment,"{""sentiment"": 0.242}",sample-news
GLDW,2022-10-01,2022-10-02,earnings_sentiment,"{""sentiment"": 0.156}",sample-news
GLDW,2023-01-01,2023-01-02,earnings_sentiment,"{""sentiment"": 0.203}",sample-news
GLDW,2023-04-01,2023-04-02,earnings_sentiment,"{""sentiment"": 0.166}",sample-news
GLDW,2023-07-01,2023-07-02,earnings_sentiment,"{""sentiment"": 0.267}",sample-news
GLDW,2023-10-01,2023-10-02,earnings_sentiment,"{""sentiment"": 0.597}",sample-news
GLDW,2024-01-01,2024-01-02,earnings_sentiment,"{""sentiment"": -0.413}",sample-news
GLDW,2024-04-01,2024-04-02,earnings_sentiment,"{""sentiment"": 0.17}",sample-news
GLDW,2024-07-01,2024-07-02,earnings_sentiment,"{""sentiment"": 0.273}",sample-news
GLDW,2024-10-01,2024-10-02,earnings_sentiment,"{""sentiment"": 0.303}",sample-news
GLDW,2025-01-01,2025-01-02,earnings_sentiment,"{""sentiment"": 0.136}",sample-news
HRZN,2022-07-01,2022-07-02,earnings_sentiment,"{""sentiment"": -0.295}",sample-news
HRZN,2022-10-01,2022-10-02,earnings_sentiment,"{""sentiment"": 0.055}",sample-news
HRZN,2023-01-01,2023-01-02,earnings_sentiment,"{""sentiment"": -0.76}",sample-news
HRZN,2023-04-01,2023-04-02,earnings_sentiment,"{""sentiment"": -0.161}",sample-news
HRZN,2023-07-01,2023-07-02,earnings_sentiment,"{""sentiment"": -0.459}",sample-news
HRZN,2023-10-01,2023-10-02,earnings_sentiment,"{""sentiment"": -0.392}",sample-news
HRZN,2024-01-01,2024-01-02,earnings_sentiment,"{""sentiment"": -0.64}",sample-news
HRZN,2024-04-01,2024-04-02,earnings_sentiment,"{""sentiment"": -0.461}",sample-news
HRZN,2024-07-01,2024-07-02,earnings_sentiment,"{""sentiment"": -0.052}",sample-news
HRZN,2024-10-01,2024-10-02,earnings_sentiment,"{""sentiment"": -0.231}",sample-news
HRZN,2025-01-01,2025-01-02,earnings_sentiment,"{""sentiment"": 0.056}",sample-news
